code,content
01,Limit switch is ascent limit of Sub-arm is ON. Please check the work status and wiring of X11 abnormal ascent limit of Sub-arm (X11) limit. is not OFF. X11 is abnormal.
02,Limit switch is ascent limit of main arm is ON. Please check the work status and wiring of X03 abnormal ascent limit of main arm (X03) limit. is not OFF. X03 is abnormal.
03,"Limit switch is ascent limit, it is OFF when the Please check the work status and wiring of ascent abnormal mould is opened limit and input (MO) of forming machine. It is OFF when ascent limit (X03,X11) and mould is opened (MO/X33)"
04,Limit switch is ascent limit of Sub-arm is OFF. Please check the work status and wiring of X11 abnormal X11 is OFF under the limit. circumstance that (FCS) mode for Sub-arm take-out is not used
05,Limit switch is ascent limit of main arm is Please check the work status and wiring of X03 abnormal OFF. limit. X03 is OFF under the circumstance that (FCW) mode for main arm take-out is not used
06,Limit switch is ascent limit of Sub-arm is OFF Please check the work status and wiring of X11 abnormal ascent limit of Sub-arm (X11) limit. is not ON when the movement of upper and lower axis of Sub-arm at ascent position is completed
07,Limit switch is ascent limit of main arm is OFF Please check the work status and wiring of X03 abnormal ascent limit of main arm (X03) limit. is not ON when the movement of upper and lower axis of main arm at ascent position is completed
08,"Limit switch is ascent limit of Sub-arm is ON Please check the work status and wiring of X11 abnormal The decline of upper and lower limit, as well as the set value of the clamp position axis of Sub-arm is completed for take-out of upper and lower axis of Sub-arm. when the ascent limit of Sub-arm (X11) is ON"
09,"Limit switch is ascent limit of main arm is ON Please check the work status and wiring of X03 abnormal The decline of upper and lower limit, as well as the set value of the clamp position axis of main arm is completed for take-out of upper and lower axis of main arm. when the ascent limit of main arm (X03) is ON"
10,"Limit switch is Circulation starts, it is OFF Please check the work status of output and relay abnormal when mould is opened circuit when circulation starts; and the wiring of Circulation start (RY-3) is not interlocking signal of circuit and between output knockout machine~ injection molding machine But it is OFF when mould is when mould is opened. opened (MO/X33)"
11,Limit switch is Pulling limit OFF@ Please check the work status and wiring of limit. abnormal
12,"Limit switch is Take-out side, release side area, Please check the work status and wiring of ascent abnormal ascent limit is OFF limit. Program limit of take-out side Please check the set value of program limit of area, ascent limit (X03, X11) take-out side area and program limit of release side and program limit of release area side area is OFF"
13,Setting is abnormal The take-out side area and Please check the set value of program limit of release side area is ON take-out side area and program limit of release side Program limit of take-out side area area and program limit of release side area is ON
14,Setting is abnormal Program limit of take-out side Please check the set value of program limit of area is OFF take-out side area and the set value of take-out side Program limit of take-out side of traveling axis. area is not ON when the movement of travelling body at the standby position of take-out side is completed
15,Setting is abnormal Program limit of release side Please check the set value of program limit of area is OFF release side area and the set value of release side of Program limit of release side traveling axis. area is not ON when the movement of travelling body is completed
16,"Limit switch is Posture return limit amd Please check posture return, action limit and the abnormal action limit is ON work status and wiring. Posture return limit (X08) and posture action limit (X09) is ON"
17,Limit switch is Interference prevention limit Please change the interference set value of front abnormal (X16) is ON and rear axis of main arm and front and rear axis of Sub-arm Please avoid it when free operation.
18,"Limit switch is Air pressure switch is OFF. Please check the work status of vacuum gauge, the abnormal Air pressure is abnormal (low). pressure of air device, the work status and wiring of air pressure switch."
19,Limit switch is Safety (OD) of release side is Please make the safety door at release side closed abnormal OFF reliably. Safety door of release side is Please check the wiring of interlocking signal open when OD is not ON. The decline action of arm at traveling and release side cannot be performed.
20,Input of injection Safety door (MD) is OFF Please check whether the safety door of injection molding machine is The safety door of injection molding machine at operation side and abnormal molding machine is open. anti-operation side is closed completely; and check The decline action of arm at the wiring of interlocking signal between knockout take-out side cannot be machine ~ injection molding machine when MD is performed. not ON.
21,Mould open limit is (MO) is ON when mould of Please check the work status of output and relay overtime injection molding machine is circuit of circulation start signal; and the wiring of opened interlocking signal of circuit and between knockout (MO) is not OFF when mould machine~ injection molding machine when mould of injection molding machine is is opened. opened from start of output circulation of knockout machine.
22,Input of injection It is simultaneously ON when Input of injection molding machine is abnormal. molding machine is mould is opened and closed Please check the wiring of interlocking signal of abnormal It is simultaneously ON when circuit and between between knockout machine~ mould of injection molding injection molding machine when mould is opened/ machine is opened (MO) and closed. closed (MC).
23,Product release Product confirmation (X04) Please perform point inspection for the action OFF status and wiring of X04 limit switch. Product falls off when the product is transported to release side.
24,Product release In-clamp product confirmation Please perform point inspection for the action (X06) OFF status and wiring of X06 limit switch. Product falls off when the product is transported to release side.
25,"Product release vacuum confirmation (X05) After point inspection is performed for sucker and OFF tubing, perform point inspection for the set value Product falls off when the action status and wiring of vacuum generation unit product is transported to release and vacuum confirming pressure. side."
26,runner release runner confirmation (X12) OFF Please perform point inspection for the action runner falls off when status and wiring of X12 limit switch. transporting to Sub-arm open position.
27,"Product release vacuum confirmation 2(X13) After point inspection is performed for sucker and OFF tubing, perform point inspection for the set value Product falls off when the action status and wiring of vacuum generation unit product is transported to release and vacuum confirming pressure. side."
28,"Setting is abnormal Take-out side limit (X19) OFF Please perform point inspection for the action Take-out side limit (X19) is not status and wiring of X19 limit switch, and change ON when travelling body is at the set value of traveling axis. standby position of take-out side."
29,Clamp error Product confirmation (X04) Please perform point inspection for the action OFF status and wiring of X04 limit switch. Product confirmation (X04) OFF Clamp error
30,Clamp error In-clamp product confirmation Please perform point inspection for the action (X06) OFF status and wiring of X06 limit switch. In-clamp product confirmation (X06) OFF Clamp error
